date;Ticker;open;high;low;close;volume;Headline_ing;Headline_esp;Label
8/02/2013;AAL;15.07;15.12;14.63;14.75;8407500;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
11/02/2013;AAL;14.89;15.01;14.26;14.46;8882000;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
12/02/2013;AAL;14.45;14.51;14.1;14.27;8126000;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
13/02/2013;AAL;14.3;14.94;14.25;14.66;10259500;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
14/02/2013;AAL;14.94;14.96;13.16;13.99;31879900;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
15/02/2013;AAL;13.93;14.61;13.93;14.5;15628000;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
19/02/2013;AAL;14.33;14.56;14.08;14.26;11354400;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
20/02/2013;AAL;14.17;14.26;13.15;13.33;14725200;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
21/02/2013;AAL;13.62;13.95;12.9;13.37;11922100;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
22/02/2013;AAL;13.57;13.6;13.21;13.57;6071400;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
25/02/2013;AAL;13.6;13.76;13;13.02;7186400;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
26/02/2013;AAL;13.14;13.42;12.7;13.26;9419000;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
27/02/2013;AAL;13.28;13.62;13.18;13.41;7390500;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
28/02/2013;AAL;13.49;13.63;13.39;13.43;6143600;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
1/03/2013;AAL;13.37;13.95;13.32;13.61;7376800;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
4/03/2013;AAL;13.5;14.07;13.47;13.9;8174800;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
5/03/2013;AAL;14.01;14.05;13.71;14.05;7676100;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
6/03/2013;AAL;14.52;14.68;14.25;14.57;13243200;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
7/03/2013;AAL;14.7;14.93;14.5;14.82;9125300;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
8/03/2013;AAL;14.99;15.2;14.84;14.92;10593700;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
11/03/2013;AAL;14.85;15.15;14.71;15.13;6961800;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
12/03/2013;AAL;15.14;15.6;14.95;15.5;8999100;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
13/03/2013;AAL;15.54;16.2;15.48;15.91;11380000;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
14/03/2013;AAL;15.98;16.36;15.93;16.25;8383300;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
15/03/2013;AAL;16.45;16.54;15.88;15.98;17667700;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
18/03/2013;AAL;15.8;16.33;15.71;16.29;6514100;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
19/03/2013;AAL;16.48;16.85;16.41;16.78;11805300;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
20/03/2013;AAL;17.13;17.33;16.87;17.23;10819800;Comments of Thomas Peterffy Chairman and C.E.O. Interactive Brokers Group 11 October 2010;Declaraciones de Thomas Peterffy, Presidente y Director Ejecutivo de Interactive Brokers Group, 11 de octubre de 2010.;1
21/03/2013;AAL;17.21;17.43;16.87;17;10740800;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
22/03/2013;AAL;17.1;17.29;16.77;16.86;8545200;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
25/03/2013;AAL;16.92;17;16.35;16.6;8400000;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
26/03/2013;AAL;16.67;16.84;16.5;16.51;6898500;Markets are volatile but that â€˜isnâ€™t the beginning of the endâ€™ says Carlyle Group co-CEO;"Los mercados son volátiles, pero eso ""no es el principio del fin"", afirma el codirector ejecutivo de Carlyle Group.";0
